cargo_id,flight_id,awb_number,cargo_type,declared_pieces,received_pieces,declared_weight_kg,received_weight_kg,special_handling_flag,dangerous_goods_flag
CGO00001,FLT0001,693-83197857,Geral,55,55,98.82,98.82,Não,Não
CGO00002,FLT0001,345-23718431,Geral,13,13,910.27,910.27,Não,Não
CGO00003,FLT0001,907-58537831,Refrigerada,9,9,133.64,133.64,Sim,Não
CGO00004,FLT0001,364-38119557,DGR,10,11,1530.64,1530.64,Sim,Sim
CGO00005,FLT0001,323-38538251,Refrigerada,51,51,2214.01,2214.01,Sim,Não
CGO00006,FLT0001,225-28566572,Perecível,12,12,1894.34,1894.34,Sim,Não
CGO00007,FLT0002,162-70897765,Geral,34,34,2430.28,2430.28,Não,Não
CGO00008,FLT0002,553-81182864,Pendente,77,77,823.91,823.91,Sim,Não
CGO00009,FLT0002,170-45575298,Perecível,78,78,1069.38,1069.38,Sim,Não
CGO00010,FLT0002,066-55377076,Geral,71,71,590.68,590.68,Não,Não
CGO00011,FLT0002,479-17270733,DGR,13,13,170.32,170.32,Sim,Sim
CGO00012,FLT0002,454-83863413,Geral,70,70,2093.35,2093.35,Não,Não
CGO00013,FLT0002,003-62401521,Geral,59,59,727.42,727.42,Não,Não
CGO00014,FLT0002,063-52091325,Geral,75,75,1202.44,1202.44,Não,Não
CGO00015,FLT0002,536-52462441,Pendente,27,27,1680.92,1680.92,Sim,Não
CGO00016,FLT0002,637-85563727,Pendente,10,10,1353.33,1353.33,Sim,Não
CGO00017,FLT0002,827-97775215,Perecível,71,71,762.46,762.46,Sim,Não
CGO00018,FLT0003,004-54769200,Valiosa,34,34,420.72,420.72,Sim,Não
CGO00019,FLT0003,041-58024342,Geral,32,32,1673.99,1673.99,Não,Não
CGO00020,FLT0003,903-65337219,Geral,43,43,1960.32,1960.32,Não,Não
CGO00021,FLT0003,205-71780854,Geral,30,30,572.85,572.85,Não,Não
CGO00022,FLT0003,864-81969657,Geral,4,4,306.05,306.05,Não,Não
CGO00023,FLT0004,322-99038359,Avariada,39,39,1277.66,1277.66,Sim,Não
CGO00024,FLT0004,925-33357554,Refrigerada,39,39,1027.07,1027.07,Sim,Não
CGO00025,FLT0004,813-32775593,Refrigerada,37,37,1298.32,1298.32,Sim,Não
CGO00026,FLT0004,626-19774839,Perecível,74,74,502.2,502.2,Sim,Não
