flight_id,airline,flight_number,origin_airport,aircraft_arrival_datetime,mantra_closure_datetime,legal_deadline_hours,legal_deadline_datetime,closure_compliance_status,operation_shift
FLT0001,Atlas Air,AV3286,LIM,2026-03-23 09:00,2026-03-23 22:50,12,2026-03-23 21:00,Próximo ao limite,Manhã
FLT0002,Atlas Air,AD5808,MEX,2026-01-16 03:50,2026-01-16 14:53,12,2026-01-16 15:50,Dentro do prazo,Madrugada
FLT0003,LATAM Cargo,FX5533,BOG,2026-03-06 21:20,2026-03-07 12:08,12,2026-03-07 09:20,Fora do prazo,Noite
FLT0004,DHL Aviation,AD6409,JFK,2026-03-30 05:15,2026-03-30 20:40,12,2026-03-30 17:15,Fora do prazo,Madrugada
FLT0005,LATAM Cargo,D03979,MAD,2026-03-27 18:30,2026-03-28 06:10,12,2026-03-28 06:30,Dentro do prazo,Noite
FLT0006,Atlas Air,5Y7807,FRA,2026-03-24 10:45,2026-03-24 22:22,12,2026-03-24 22:45,Dentro do prazo,Manhã
FLT0007,DHL Aviation,FX7086,PTY,2026-03-10 09:45,2026-03-10 20:11,12,2026-03-10 21:45,Dentro do prazo,Manhã
FLT0008,TAMPA Cargo,AD2323,MAD,2026-02-21 19:05,2026-02-22 06:23,12,2026-02-22 07:05,Dentro do prazo,Noite
FLT0009,Avianca Cargo,FX9584,JFK,2026-01-12 19:05,2026-01-13 07:02,12,2026-01-13 07:05,Dentro do prazo,Noite
FLT0010,GOLLOG,AD5846,SCL,2026-03-04 12:15,2026-03-05 00:30,12,2026-03-05 00:15,Próximo ao limite,Tarde
FLT0011,GOLLOG,FX1025,PTY,2026-03-08 00:15,2026-03-08 13:51,12,2026-03-08 12:15,Próximo ao limite,Madrugada
FLT0012,DHL Aviation,D07532,MEX,2026-02-14 01:10,2026-02-14 15:02,12,2026-02-14 13:10,Próximo ao limite,Madrugada
FLT0013,TAMPA Cargo,AV5571,LIM,2026-03-11 17:20,2026-03-12 08:00,12,2026-03-12 05:20,Fora do prazo,Tarde
FLT0014,Azul Cargo,FX9664,SCL,2026-03-11 10:30,2026-03-11 23:00,12,2026-03-11 22:30,Próximo ao limite,Manhã
FLT0015,FedEx Express,G34214,PTY,2026-01-19 06:20,2026-01-19 18:15,12,2026-01-19 18:20,Dentro do prazo,Manhã
FLT0016,GOLLOG,G38121,BOG,2026-02-08 14:45,2026-02-08 23:56,12,2026-02-09 02:45,Dentro do prazo,Tarde
FLT0017,FedEx Express,AV7636,MAD,2026-01-21 16:50,2026-01-22 07:11,12,2026-01-22 04:50,Fora do prazo,Tarde
FLT0018,TAMPA Cargo,D01040,MAD,2026-02-06 04:30,2026-02-06 16:11,12,2026-02-06 16:30,Dentro do prazo,Madrugada
FLT0019,Atlas Air,AV7418,LIM,2026-03-19 15:00,2026-03-20 02:33,12,2026-03-20 03:00,Dentro do prazo,Tarde
FLT0020,Azul Cargo,AD9280,AMS,2026-03-31 17:45,2026-04-01 08:05,12,2026-04-01 05:45,Fora do prazo,Tarde
FLT0021,FedEx Express,G33885,MEX,2026-01-08 13:55,2026-01-09 01:12,12,2026-01-09 01:55,Dentro do prazo,Tarde
FLT0022,Azul Cargo,FX9043,MIA,2026-02-06 15:15,2026-02-07 04:43,12,2026-02-07 03:15,Próximo ao limite,Tarde
FLT0023,Azul Cargo,QT4463,LIM,2026-02-05 05:40,2026-02-05 19:21,12,2026-02-05 17:40,Próximo ao limite,Madrugada
FLT0024,Avianca Cargo,LA6279,MEX,2026-01-01 07:50,2026-01-01 19:47,12,2026-01-01 19:50,Dentro do prazo,Manhã
FLT0025,LATAM Cargo,QT3301,SCL,2026-03-08 17:05,2026-03-09 07:07,12,2026-03-09 05:05,Fora do prazo,Tarde
FLT0026,DHL Aviation,QT8975,FRA,2026-02-06 06:50,2026-02-06 17:48,12,2026-02-06 18:50,Dentro do prazo,Manhã
FLT0027,Azul Cargo,AD4234,PTY,2026-03-12 08:20,2026-03-12 21:14,12,2026-03-12 20:20,Próximo ao limite,Manhã
FLT0028,FedEx Express,QT3928,FRA,2026-03-29 18:15,2026-03-30 08:00,12,2026-03-30 06:15,Próximo ao limite,Noite
FLT0029,Atlas Air,D06995,MAD,2026-03-12 14:15,2026-03-13 01:36,12,2026-03-13 02:15,Dentro do prazo,Tarde
FLT0030,GOLLOG,FX6068,BOG,2026-01-11 09:20,2026-01-11 19:25,12,2026-01-11 21:20,Dentro do prazo,Manhã
FLT0031,Azul Cargo,QT5895,PTY,2026-03-23 05:00,2026-03-23 18:17,12,2026-03-23 17:00,Próximo ao limite,Madrugada
