inconsistency_id,cargo_id,inconsistency_type,inconsistency_description,detected_datetime,resolved_datetime,rework_flag,rework_type,responsibility_group,controllability_level
INC00001,CGO00001,Erro de digitação,Ocorrência simulada: Erro de digitação,2026-03-23 13:02,2026-03-23 18:33,Sim,Recontagem,Transportadora / cliente,Controlável
INC00002,CGO00004,Divergência de volumes,Ocorrência simulada: Divergência de volumes,2026-03-23 13:12,2026-03-23 13:58,Não,,Causa mista,Não controlável
INC00003,CGO00008,Natureza da carga não informada,Ocorrência simulada: Natureza da carga não informada,2026-01-16 06:44,2026-01-16 11:22,Não,,Companhia aérea,Não controlável
INC00004,CGO00010,Violação,Ocorrência simulada: Violação,2026-01-16 06:51,2026-01-16 09:43,Não,,Companhia aérea,Não controlável
INC00005,CGO00010,Divergência de volumes,Ocorrência simulada: Divergência de volumes,2026-01-16 06:51,2026-01-16 11:23,Não,,Companhia aérea,Parcialmente controlável
INC00006,CGO00014,Embalagem danificada,Ocorrência simulada: Embalagem danificada,2026-01-16 07:25,2026-01-16 11:21,Sim,Tratamento de DSIC,Companhia aérea,Não controlável
INC00007,CGO00018,Divergência de peso,Ocorrência simulada: Divergência de peso,2026-03-07 01:42,2026-03-07 06:54,Sim,Repesagem,Companhia aérea,Parcialmente controlável
INC00008,CGO00022,Violação,Ocorrência simulada: Violação,2026-03-07 00:33,2026-03-07 02:02,Sim,Tratamento de DSIC,Aeroporto / fiel depositário,Não controlável
INC00009,CGO00028,AWB divergente,Ocorrência simulada: AWB divergente,2026-03-30 09:49,2026-03-30 15:39,Sim,Correção de identificação,Causa mista,Não controlável
INC00010,CGO00033,Erro de digitação,Ocorrência simulada: Erro de digitação,2026-03-30 08:28,2026-03-30 11:04,Sim,Recontagem,Companhia aérea,Controlável
INC00011,CGO00033,Embalagem danificada,Ocorrência simulada: Embalagem danificada,2026-03-30 08:35,2026-03-30 13:07,Não,,Companhia aérea,Controlável
INC00012,CGO00034,Erro de digitação,Ocorrência simulada: Erro de digitação,2026-03-30 08:10,2026-03-30 13:43,Não,,Companhia aérea,Controlável
INC00013,CGO00035,Natureza da carga não informada,Ocorrência simulada: Natureza da carga não informada,2026-03-30 08:42,2026-03-30 12:53,Não,,Companhia aérea,Não controlável
INC00014,CGO00038,AWB divergente,Ocorrência simulada: AWB divergente,2026-03-27 23:30,2026-03-28 02:56,Sim,Tratamento de DSIC,Transportadora / cliente,Não controlável
INC00015,CGO00040,Natureza da carga não informada,Ocorrência simulada: Natureza da carga não informada,2026-03-27 20:46,2026-03-28 02:42,Não,,Companhia aérea,Não controlável
INC00016,CGO00041,DSIC,Ocorrência simulada: DSIC,2026-03-27 21:40,2026-03-28 00:45,Sim,Repesagem,Companhia aérea,Não controlável
INC00017,CGO00042,Carga sem identificação,Ocorrência simulada: Carga sem identificação,2026-03-27 22:59,2026-03-28 00:10,Sim,Repesagem,Companhia aérea,Não controlável
INC00018,CGO00044,Natureza da carga não informada,Ocorrência simulada: Natureza da carga não informada,2026-03-27 23:16,2026-03-28 03:12,Não,,Companhia aérea,Não controlável
INC00019,CGO00046,Indício de furto,Ocorrência simulada: Indício de furto,2026-03-27 22:52,2026-03-28 02:47,Não,,Causa mista,Parcialmente controlável
INC00020,CGO00055,AWB divergente,Ocorrência simulada: AWB divergente,2026-03-24 13:54,2026-03-24 15:53,Sim,Correção de identificação,Causa mista,Controlável
INC00021,CGO00059,Indício de furto,Ocorrência simulada: Indício de furto,2026-03-24 14:40,2026-03-24 19:46,Não,,Companhia aérea,Controlável
INC00022,CGO00066,Divergência de volumes,Ocorrência simulada: Divergência de volumes,2026-03-10 12:01,2026-03-10 16:34,Sim,Retorno para conferência,Causa mista,Não controlável
INC00023,CGO00066,Erro de manifesto,Ocorrência simulada: Erro de manifesto,2026-03-10 12:29,2026-03-10 14:52,Não,,Companhia aérea,Parcialmente controlável
INC00024,CGO00070,Divergência de peso,Ocorrência simulada: Divergência de peso,2026-02-21 22:52,2026-02-22 02:21,Não,,Causa mista,Não controlável
INC00025,CGO00071,Avaria,Ocorrência simulada: Avaria,2026-02-21 22:26,2026-02-22 00:28,Não,,Aeroporto / fiel depositário,Parcialmente controlável
INC00026,CGO00077,Divergência de peso,Ocorrência simulada: Divergência de peso,2026-01-12 22:51,2026-01-13 01:32,Sim,Tratamento de DSIC,Companhia aérea,Não controlável
INC00027,CGO00079,Natureza da carga não informada,Ocorrência simulada: Natureza da carga não informada,2026-01-12 22:34,2026-01-13 04:01,Sim,Recontagem,Companhia aérea,Não controlável
INC00028,CGO00080,Divergência de peso,Ocorrência simulada: Divergência de peso,2026-01-12 23:39,2026-01-13 03:27,Sim,Retorno para conferência,Causa mista,Parcialmente controlável
INC00029,CGO00086,Divergência de peso,Ocorrência simulada: Divergência de peso,2026-03-04 16:16,2026-03-04 18:39,Não,,Companhia aérea,Parcialmente controlável
INC00030,CGO00087,Natureza da carga não informada,Ocorrência simulada: Natureza da carga não informada,2026-03-04 16:21,2026-03-04 20:51,Sim,Recontagem,Companhia aérea,Não controlável
INC00031,CGO00089,Divergência de peso,Ocorrência simulada: Divergência de peso,2026-03-08 05:09,2026-03-08 11:04,Sim,Retorno para conferência,Causa mista,Parcialmente controlável
INC00032,CGO00093,Divergência de volumes,Ocorrência simulada: Divergência de volumes,2026-03-08 03:02,2026-03-08 08:40,Não,,Causa mista,Parcialmente controlável
INC00033,CGO00095,Natureza da carga não informada,Ocorrência simulada: Natureza da carga não informada,2026-03-08 03:43,2026-03-08 07:22,Sim,Recontagem,Companhia aérea,Não controlável
INC00034,CGO00098,Divergência de volumes,Ocorrência simulada: Divergência de volumes,2026-03-08 04:18,2026-03-08 05:32,Sim,Correção de identificação,Causa mista,Não controlável
INC00035,CGO00100,Descrição incompleta,Ocorrência simulada: Descrição incompleta,2026-03-08 04:01,2026-03-08 09:13,Sim,Retorno para conferência,Importador / despachante,Controlável
INC00036,CGO00103,Indício de furto,Ocorrência simulada: Indício de furto,2026-02-14 04:14,2026-02-14 06:05,Não,,Causa mista,Parcialmente controlável
INC00037,CGO00107,Descrição incompleta,Ocorrência simulada: Descrição incompleta,2026-02-14 05:28,2026-02-14 11:11,Sim,Correção de identificação,Aeroporto / fiel depositário,Controlável
INC00038,CGO00108,Embalagem danificada,Ocorrência simulada: Embalagem danificada,2026-02-14 05:44,2026-02-14 11:12,Sim,Tratamento de DSIC,Causa mista,Controlável
INC00039,CGO00109,AWB divergente,Ocorrência simulada: AWB divergente,2026-02-14 05:29,2026-02-14 08:45,Não,,Aeroporto / fiel depositário,Controlável
INC00040,CGO00113,AWB divergente,Ocorrência simulada: AWB divergente,2026-03-11 21:00,2026-03-12 02:23,Sim,Recontagem,Companhia aérea,Controlável
INC00041,CGO00122,AWB divergente,Ocorrência simulada: AWB divergente,2026-03-11 20:00,2026-03-11 23:41,Não,,Causa mista,Não controlável
INC00042,CGO00124,Embalagem danificada,Ocorrência simulada: Embalagem danificada,2026-03-11 12:11,2026-03-11 14:46,Não,,Causa mista,Não controlável
INC00043,CGO00124,Indício de furto,Ocorrência simulada: Indício de furto,2026-03-11 12:42,2026-03-11 15:03,Não,,Aeroporto / fiel depositário,Controlável
INC00044,CGO00126,Descrição incompleta,Ocorrência simulada: Descrição incompleta,2026-03-11 15:34,2026-03-11 18:37,Sim,Tratamento de DSIC,Transportadora / cliente,Parcialmente controlável
INC00045,CGO00127,Divergência de volumes,Ocorrência simulada: Divergência de volumes,2026-03-11 14:19,2026-03-11 18:02,Não,,Companhia aérea,Não controlável
INC00046,CGO00127,Embalagem danificada,Ocorrência simulada: Embalagem danificada,2026-03-11 14:14,2026-03-11 19:44,Não,,Companhia aérea,Controlável
INC00047,CGO00132,Erro de digitação,Ocorrência simulada: Erro de digitação,2026-01-19 09:10,2026-01-19 14:11,Não,,Transportadora / cliente,Controlável
INC00048,CGO00137,Carga sem identificação,Ocorrência simulada: Carga sem identificação,2026-01-19 09:08,2026-01-19 09:53,Sim,Correção de identificação,Causa mista,Parcialmente controlável
