manifest_id,cargo_id,declared_cargo_nature,manifest_error_flag,manifest_error_type,cargo_nature_missing_flag,manifest_observation
MAN00001,CGO00001,Geral,Sim,Erro de digitação,Não,Informação ausente ou divergente no manifesto
MAN00002,CGO00002,Geral,Não,,Não,
MAN00003,CGO00003,Refrigerada,Não,,Não,
MAN00004,CGO00004,DGR,Sim,Divergência de volumes,Não,Informação ausente ou divergente no manifesto
MAN00005,CGO00005,Refrigerada,Não,,Não,
MAN00006,CGO00006,Perecível,Não,,Não,
MAN00007,CGO00007,Geral,Não,,Não,
MAN00008,CGO00008,,Sim,Natureza da carga não informada,Sim,Informação ausente ou divergente no manifesto
MAN00009,CGO00009,Perecível,Não,,Não,
MAN00010,CGO00010,Geral,Não,,Não,
MAN00011,CGO00011,DGR,Não,,Não,
MAN00012,CGO00012,Geral,Não,,Não,
MAN00013,CGO00013,Geral,Não,,Não,
MAN00014,CGO00014,Geral,Não,,Não,
MAN00015,CGO00015,Pendente,Não,,Não,
MAN00016,CGO00016,Pendente,Não,,Não,
MAN00017,CGO00017,Perecível,Não,,Não,
MAN00018,CGO00018,Valiosa,Não,,Não,
MAN00019,CGO00019,Geral,Não,,Não,
MAN00020,CGO00020,Geral,Não,,Não,
MAN00021,CGO00021,Geral,Não,,Não,
MAN00022,CGO00022,Geral,Não,,Não,
MAN00023,CGO00023,Avariada,Não,,Não,
MAN00024,CGO00024,Refrigerada,Não,,Não,
MAN00025,CGO00025,Refrigerada,Não,,Não,
MAN00026,CGO00026,Perecível,Não,,Não,
MAN00027,CGO00027,Avariada,Não,,Não,
MAN00028,CGO00028,Geral,Sim,AWB divergente,Não,Informação ausente ou divergente no manifesto
MAN00029,CGO00029,Geral,Não,,Não,
MAN00030,CGO00030,Pendente,Não,,Não,
MAN00031,CGO00031,Valiosa,Não,,Não,
MAN00032,CGO00032,Geral,Não,,Não,
MAN00033,CGO00033,,Sim,Erro de digitação,Sim,Informação ausente ou divergente no manifesto
MAN00034,CGO00034,Refrigerada,Sim,Erro de digitação,Não,Informação ausente ou divergente no manifesto
MAN00035,CGO00035,Valiosa,Não,,Não,
MAN00036,CGO00036,Avariada,Não,,Não,
MAN00037,CGO00037,Valiosa,Não,,Não,
MAN00038,CGO00038,Refrigerada,Sim,AWB divergente,Não,Informação ausente ou divergente no manifesto
MAN00039,CGO00039,Geral,Não,,Não,
MAN00040,CGO00040,,Sim,Natureza da carga não informada,Sim,Informação ausente ou divergente no manifesto
MAN00041,CGO00041,Geral,Não,,Não,
MAN00042,CGO00042,Geral,Não,,Não,
MAN00043,CGO00043,Geral,Não,,Não,
MAN00044,CGO00044,,Sim,Natureza da carga não informada,Sim,Informação ausente ou divergente no manifesto
MAN00045,CGO00045,Refrigerada,Não,,Não,
MAN00046,CGO00046,Refrigerada,Não,,Não,
MAN00047,CGO00047,Avariada,Não,,Não,
MAN00048,CGO00048,Pendente,Não,,Não,
MAN00049,CGO00049,Perecível,Não,,Não,
MAN00050,CGO00050,Avariada,Não,,Não,
MAN00051,CGO00051,Pendente,Não,,Não,
MAN00052,CGO00052,Pendente,Não,,Não,
MAN00053,CGO00053,Perecível,Não,,Não,
MAN00054,CGO00054,Geral,Não,,Não,
MAN00055,CGO00055,Pendente,Sim,AWB divergente,Não,Informação ausente ou divergente no manifesto
MAN00056,CGO00056,Geral,Não,,Não,
MAN00057,CGO00057,Perecível,Não,,Não,
MAN00058,CGO00058,Refrigerada,Não,,Não,
MAN00059,CGO00059,Refrigerada,Não,,Não,
MAN00060,CGO00060,DGR,Não,,Não,
MAN00061,CGO00061,Perecível,Não,,Não,
MAN00062,CGO00062,Geral,Não,,Não,
MAN00063,CGO00063,Geral,Não,,Não,
MAN00064,CGO00064,Geral,Não,,Não,
MAN00065,CGO00065,Geral,Não,,Não,
MAN00066,CGO00066,,Sim,Divergência de volumes,Sim,Informação ausente ou divergente no manifesto
MAN00067,CGO00067,Geral,Não,,Não,
MAN00068,CGO00068,Refrigerada,Não,,Não,
MAN00069,CGO00069,DGR,Não,,Não,
MAN00070,CGO00070,Avariada,Não,,Não,
MAN00071,CGO00071,Pendente,Não,,Não,
MAN00072,CGO00072,Geral,Não,,Não,
MAN00073,CGO00073,Geral,Não,,Não,
MAN00074,CGO00074,Perecível,Não,,Não,
MAN00075,CGO00075,DGR,Não,,Não,
MAN00076,CGO00076,Avariada,Não,,Não,
MAN00077,CGO00077,DGR,Sim,Divergência de peso,Não,Informação ausente ou divergente no manifesto
MAN00078,CGO00078,Geral,Não,,Não,
MAN00079,CGO00079,,Sim,Natureza da carga não informada,Sim,Informação ausente ou divergente no manifesto
MAN00080,CGO00080,Avariada,Sim,Divergência de peso,Não,Informação ausente ou divergente no manifesto
MAN00081,CGO00081,DGR,Não,,Não,
MAN00082,CGO00082,Valiosa,Não,,Não,
MAN00083,CGO00083,Avariada,Não,,Não,
MAN00084,CGO00084,DGR,Não,,Não,
MAN00085,CGO00085,Geral,Não,,Não,
MAN00086,CGO00086,Refrigerada,Sim,Divergência de peso,Não,Informação ausente ou divergente no manifesto
MAN00087,CGO00087,Geral,Não,,Não,
MAN00088,CGO00088,Perecível,Não,,Não,
MAN00089,CGO00089,Refrigerada,Sim,Divergência de peso,Não,Informação ausente ou divergente no manifesto
MAN00090,CGO00090,DGR,Não,,Não,
MAN00091,CGO00091,Geral,Não,,Não,
MAN00092,CGO00092,Avariada,Não,,Não,
MAN00093,CGO00093,Geral,Sim,Divergência de volumes,Não,Informação ausente ou divergente no manifesto
MAN00094,CGO00094,Pendente,Não,,Não,
MAN00095,CGO00095,,Sim,Natureza da carga não informada,Sim,Informação ausente ou divergente no manifesto
MAN00096,CGO00096,Geral,Não,,Não,
MAN00097,CGO00097,Geral,Não,,Não,
MAN00098,CGO00098,Geral,Sim,Divergência de volumes,Não,Informação ausente ou divergente no manifesto
MAN00099,CGO00099,Pendente,Não,,Não,
MAN00100,CGO00100,Avariada,Sim,Descrição incompleta,Não,Informação ausente ou divergente no manifesto
MAN00101,CGO00101,Refrigerada,Não,,Não,
MAN00102,CGO00102,Pendente,Não,,Não,
MAN00103,CGO00103,Perecível,Não,,Não,
MAN00104,CGO00104,Avariada,Não,,Não,
MAN00105,CGO00105,Geral,Não,,Não,
MAN00106,CGO00106,Geral,Não,,Não,
MAN00107,CGO00107,,Sim,Descrição incompleta,Sim,Informação ausente ou divergente no manifesto
MAN00108,CGO00108,Geral,Não,,Não,
MAN00109,CGO00109,Geral,Sim,AWB divergente,Não,Informação ausente ou divergente no manifesto
MAN00110,CGO00110,Pendente,Não,,Não,
MAN00111,CGO00111,Avariada,Não,,Não,
MAN00112,CGO00112,Geral,Não,,Não,
MAN00113,CGO00113,Geral,Sim,AWB divergente,Não,Informação ausente ou divergente no manifesto
MAN00114,CGO00114,Valiosa,Não,,Não,
MAN00115,CGO00115,Perecível,Não,,Não,
MAN00116,CGO00116,Geral,Não,,Não,
MAN00117,CGO00117,Valiosa,Não,,Não,
MAN00118,CGO00118,Pendente,Não,,Não,
MAN00119,CGO00119,DGR,Não,,Não,
MAN00120,CGO00120,Avariada,Não,,Não,
MAN00121,CGO00121,Perecível,Não,,Não,
MAN00122,CGO00122,Geral,Sim,AWB divergente,Não,Informação ausente ou divergente no manifesto
MAN00123,CGO00123,Avariada,Não,,Não,
MAN00124,CGO00124,Geral,Não,,Não,
MAN00125,CGO00125,Geral,Não,,Não,
MAN00126,CGO00126,Refrigerada,Sim,Descrição incompleta,Não,Informação ausente ou divergente no manifesto
MAN00127,CGO00127,Refrigerada,Sim,Divergência de volumes,Não,Informação ausente ou divergente no manifesto
MAN00128,CGO00128,Pendente,Não,,Não,
MAN00129,CGO00129,Geral,Não,,Não,
MAN00130,CGO00130,Refrigerada,Não,,Não,
MAN00131,CGO00131,Perecível,Não,,Não,
MAN00132,CGO00132,Geral,Sim,Erro de digitação,Não,Informação ausente ou divergente no manifesto
MAN00133,CGO00133,Geral,Não,,Não,
MAN00134,CGO00134,Geral,Não,,Não,
MAN00135,CGO00135,Avariada,Não,,Não,
MAN00136,CGO00136,Refrigerada,Não,,Não,
MAN00137,CGO00137,DGR,Não,,Não,
MAN00138,CGO00138,Refrigerada,Não,,Não,
MAN00139,CGO00139,Geral,Sim,Erro de digitação,Não,Informação ausente ou divergente no manifesto
MAN00140,CGO00140,Perecível,Não,,Não,
MAN00141,CGO00141,Avariada,Não,,Não,
MAN00142,CGO00142,DGR,Não,,Não,
MAN00143,CGO00143,Pendente,Não,,Não,
MAN00144,CGO00144,Valiosa,Não,,Não,
MAN00145,CGO00145,Refrigerada,Não,,Não,
MAN00146,CGO00146,Geral,Não,,Não,
MAN00147,CGO00147,Geral,Não,,Não,
MAN00148,CGO00148,Geral,Não,,Não,
MAN00149,CGO00149,Refrigerada,Não,,Não,
MAN00150,CGO00150,Geral,Sim,AWB divergente,Não,Informação ausente ou divergente no manifesto
MAN00151,CGO00151,Geral,Não,,Não,
MAN00152,CGO00152,Perecível,Não,,Não,
MAN00153,CGO00153,Geral,Não,,Não,
MAN00154,CGO00154,,Sim,Divergência de volumes,Sim,Informação ausente ou divergente no manifesto
MAN00155,CGO00155,Geral,Não,,Não,
MAN00156,CGO00156,Refrigerada,Não,,Não,
MAN00157,CGO00157,Pendente,Não,,Não,
MAN00158,CGO00158,Pendente,Não,,Não,
MAN00159,CGO00159,Geral,Sim,Divergência de volumes,Não,Informação ausente ou divergente no manifesto
MAN00160,CGO00160,Geral,Não,,Não,
MAN00161,CGO00161,Pendente,Não,,Não,
MAN00162,CGO00162,Valiosa,Sim,Erro de digitação,Não,Informação ausente ou divergente no manifesto
MAN00163,CGO00163,Pendente,Não,,Não,
MAN00164,CGO00164,Geral,Não,,Não,
MAN00165,CGO00165,Geral,Não,,Não,
MAN00166,CGO00166,Geral,Sim,Divergência de volumes,Não,Informação ausente ou divergente no manifesto
MAN00167,CGO00167,Refrigerada,Não,,Não,
MAN00168,CGO00168,Geral,Não,,Não,
MAN00169,CGO00169,Perecível,Não,,Não,
MAN00170,CGO00170,Avariada,Sim,Descrição incompleta,Não,Informação ausente ou divergente no manifesto
MAN00171,CGO00171,Geral,Não,,Não,
MAN00172,CGO00172,Geral,Não,,Não,
MAN00173,CGO00173,,Sim,Natureza da carga não informada,Sim,Informação ausente ou divergente no manifesto
MAN00174,CGO00174,Geral,Não,,Não,
MAN00175,CGO00175,Geral,Não,,Não,
MAN00176,CGO00176,Geral,Não,,Não,
MAN00177,CGO00177,Pendente,Não,,Não,
MAN00178,CGO00178,Avariada,Sim,Erro de digitação,Não,Informação ausente ou divergente no manifesto
MAN00179,CGO00179,Pendente,Não,,Não,
MAN00180,CGO00180,Geral,Não,,Não,
MAN00181,CGO00181,Valiosa,Não,,Não,
MAN00182,CGO00182,Pendente,Não,,Não,
MAN00183,CGO00183,Geral,Não,,Não,
MAN00184,CGO00184,,Sim,Natureza da carga não informada,Sim,Informação ausente ou divergente no manifesto
MAN00185,CGO00185,Geral,Não,,Não,
MAN00186,CGO00186,Geral,Não,,Não,
MAN00187,CGO00187,Geral,Não,,Não,
MAN00188,CGO00188,Refrigerada,Não,,Não,
MAN00189,CGO00189,Geral,Não,,Não,
MAN00190,CGO00190,Avariada,Sim,Divergência de volumes,Não,Informação ausente ou divergente no manifesto
MAN00191,CGO00191,Perecível,Sim,Erro de digitação,Não,Informação ausente ou divergente no manifesto
MAN00192,CGO00192,Geral,Não,,Não,
MAN00193,CGO00193,Valiosa,Não,,Não,
MAN00194,CGO00194,Avariada,Sim,Divergência de volumes,Não,Informação ausente ou divergente no manifesto
MAN00195,CGO00195,DGR,Não,,Não,
MAN00196,CGO00196,Perecível,Não,,Não,
MAN00197,CGO00197,Perecível,Não,,Não,
MAN00198,CGO00198,DGR,Não,,Não,
MAN00199,CGO00199,Geral,Não,,Não,
MAN00200,CGO00200,,Sim,Natureza da carga não informada,Sim,Informação ausente ou divergente no manifesto
MAN00201,CGO00201,Geral,Não,,Não,
MAN00202,CGO00202,Geral,Não,,Não,
MAN00203,CGO00203,Refrigerada,Não,,Não,
MAN00204,CGO00204,DGR,Não,,Não,
MAN00205,CGO00205,Refrigerada,Não,,Não,
MAN00206,CGO00206,Geral,Sim,Descrição incompleta,Não,Informação ausente ou divergente no manifesto
MAN00207,CGO00207,Perecível,Não,,Não,
MAN00208,CGO00208,Refrigerada,Não,,Não,
MAN00209,CGO00209,Geral,Não,,Não,
MAN00210,CGO00210,Pendente,Sim,Divergência de volumes,Não,Informação ausente ou divergente no manifesto
MAN00211,CGO00211,Geral,Não,,Não,
MAN00212,CGO00212,Avariada,Não,,Não,
MAN00213,CGO00213,Geral,Não,,Não,
MAN00214,CGO00214,Geral,Não,,Não,
MAN00215,CGO00215,Refrigerada,Não,,Não,
MAN00216,CGO00216,Geral,Não,,Não,
MAN00217,CGO00217,Refrigerada,Não,,Não,
MAN00218,CGO00218,Perecível,Sim,Erro de digitação,Não,Informação ausente ou divergente no manifesto
MAN00219,CGO00219,Pendente,Não,,Não,
MAN00220,CGO00220,Perecível,Não,,Não,
MAN00221,CGO00221,,Sim,Natureza da carga não informada,Sim,Informação ausente ou divergente no manifesto
MAN00222,CGO00222,DGR,Não,,Não,
MAN00223,CGO00223,Perecível,Não,,Não,
MAN00224,CGO00224,Geral,Não,,Não,
MAN00225,CGO00225,Refrigerada,Não,,Não,
MAN00226,CGO00226,Geral,Não,,Não,
MAN00227,CGO00227,Geral,Não,,Não,
MAN00228,CGO00228,Geral,Sim,Erro de digitação,Não,Informação ausente ou divergente no manifesto
MAN00229,CGO00229,Refrigerada,Não,,Não,
MAN00230,CGO00230,Geral,Não,,Não,
MAN00231,CGO00231,Geral,Não,,Não,
MAN00232,CGO00232,Refrigerada,Sim,Descrição incompleta,Não,Informação ausente ou divergente no manifesto
MAN00233,CGO00233,Geral,Não,,Não,
MAN00234,CGO00234,Pendente,Não,,Não,
MAN00235,CGO00235,Pendente,Não,,Não,
MAN00236,CGO00236,Geral,Não,,Não,
MAN00237,CGO00237,Refrigerada,Não,,Não,
MAN00238,CGO00238,Geral,Não,,Não,
MAN00239,CGO00239,Geral,Não,,Não,
MAN00240,CGO00240,Perecível,Não,,Não,
MAN00241,CGO00241,Perecível,Não,,Não,
MAN00242,CGO00242,Refrigerada,Sim,Divergência de volumes,Não,Informação ausente ou divergente no manifesto
MAN00243,CGO00243,Refrigerada,Sim,Erro de digitação,Não,Informação ausente ou divergente no manifesto
MAN00244,CGO00244,DGR,Sim,Erro de digitação,Não,Informação ausente ou divergente no manifesto
MAN00245,CGO00245,Geral,Não,,Não,
MAN00246,CGO00246,Geral,Não,,Não,
MAN00247,CGO00247,Perecível,Não,,Não,
MAN00248,CGO00248,Perecível,Sim,Divergência de peso,Não,Informação ausente ou divergente no manifesto
MAN00249,CGO00249,Geral,Não,,Não,
MAN00250,CGO00250,Perecível,Não,,Não,
MAN00251,CGO00251,Perecível,Não,,Não,
MAN00252,CGO00252,DGR,Não,,Não,
MAN00253,CGO00253,,Sim,Natureza da carga não informada,Sim,Informação ausente ou divergente no manifesto
MAN00254,CGO00254,Geral,Não,,Não,
MAN00255,CGO00255,Geral,Não,,Não,
MAN00256,CGO00256,Valiosa,Sim,Descrição incompleta,Não,Informação ausente ou divergente no manifesto
MAN00257,CGO00257,Geral,Não,,Não,
MAN00258,CGO00258,Avariada,Não,,Não,
MAN00259,CGO00259,Valiosa,Não,,Não,
MAN00260,CGO00260,Geral,Não,,Não,
MAN00261,CGO00261,Valiosa,Não,,Não,
MAN00262,CGO00262,Geral,Não,,Não,
MAN00263,CGO00263,,Sim,Natureza da carga não informada,Sim,Informação ausente ou divergente no manifesto
MAN00264,CGO00264,Geral,Não,,Não,
MAN00265,CGO00265,Perecível,Não,,Não,
MAN00266,CGO00266,Geral,Não,,Não,
MAN00267,CGO00267,Perecível,Não,,Não,
MAN00268,CGO00268,Avariada,Não,,Não,
MAN00269,CGO00269,Perecível,Sim,Divergência de volumes,Não,Informação ausente ou divergente no manifesto
MAN00270,CGO00270,Geral,Não,,Não,
MAN00271,CGO00271,Geral,Não,,Não,
MAN00272,CGO00272,Avariada,Não,,Não,
MAN00273,CGO00273,,Sim,Divergência de peso,Sim,Informação ausente ou divergente no manifesto
MAN00274,CGO00274,Pendente,Não,,Não,
MAN00275,CGO00275,Geral,Não,,Não,
MAN00276,CGO00276,Perecível,Sim,AWB divergente,Não,Informação ausente ou divergente no manifesto
MAN00277,CGO00277,Perecível,Não,,Não,
MAN00278,CGO00278,Valiosa,Não,,Não,
MAN00279,CGO00279,DGR,Não,,Não,
MAN00280,CGO00280,Perecível,Não,,Não,
MAN00281,CGO00281,Geral,Não,,Não,
MAN00282,CGO00282,Geral,Não,,Não,
MAN00283,CGO00283,Avariada,Sim,Divergência de peso,Não,Informação ausente ou divergente no manifesto
MAN00284,CGO00284,Geral,Não,,Não,
MAN00285,CGO00285,Refrigerada,Não,,Não,
MAN00286,CGO00286,Geral,Não,,Não,
