release_id,cargo_id,customs_release_required,customs_release_datetime,anuence_required,anuence_agency,anuence_release_datetime,release_status,release_delay_reason,release_responsibility_group
REL00001,CGO00001,Sim,2026-03-24 21:09,Não,Não aplicável,,Liberada,,Sem atraso
REL00002,CGO00002,Sim,2026-03-25 02:13,Não,Não aplicável,,Liberada,,Sem atraso
REL00003,CGO00003,Não,2026-03-25 09:19,Não,Não aplicável,,Liberada,Aguardando despachante,Importador / despachante
REL00004,CGO00004,Sim,2026-03-24 14:07,Sim,Ibama,2026-03-25 22:59,Liberada,Aguardando anuência,Órgão anuente
REL00005,CGO00005,Sim,2026-03-24 15:08,Sim,Anvisa,2026-03-25 23:00,Liberada,,Sem atraso
REL00006,CGO00006,Sim,2026-03-24 05:54,Sim,Anvisa,2026-03-26 04:49,Liberada,Aguardando anuência,Órgão anuente
REL00007,CGO00007,Não,2026-01-16 17:30,Não,Não aplicável,,Liberada,,Sem atraso
REL00008,CGO00008,Sim,2026-01-18 00:00,Não,Não aplicável,,Liberada,,Sem atraso
REL00009,CGO00009,Sim,2026-01-17 20:12,Não,Não aplicável,,Liberada,,Sem atraso
REL00010,CGO00010,Sim,2026-01-20 07:26,Não,Não aplicável,,Liberada,Pendência documental,Importador / despachante
REL00011,CGO00011,Sim,2026-01-17 11:00,Não,Não aplicável,,Liberada,,Sem atraso
REL00012,CGO00012,Sim,2026-01-17 03:07,Não,Não aplicável,,Liberada,,Sem atraso
REL00013,CGO00013,Sim,2026-01-20 01:12,Não,Não aplicável,,Liberada,Aguardando despachante,Importador / despachante
REL00014,CGO00014,Sim,2026-01-17 13:53,Não,Não aplicável,,Liberada,,Sem atraso
REL00015,CGO00015,Sim,2026-01-17 12:21,Não,Não aplicável,,Liberada,,Sem atraso
REL00016,CGO00016,Sim,2026-01-17 09:37,Não,Não aplicável,,Liberada,,Sem atraso
REL00017,CGO00017,Sim,2026-01-18 09:11,Não,Não aplicável,,Liberada,Pendência documental,Importador / despachante
REL00018,CGO00018,Não,2026-03-07 14:44,Sim,Ibama,2026-03-08 21:50,Liberada,,Sem atraso
REL00019,CGO00019,Sim,2026-03-07 23:19,Sim,Inmetro,2026-03-08 03:50,Liberada,Aguardando anuência,Órgão anuente
REL00020,CGO00020,Sim,2026-03-08 10:44,Não,Não aplicável,,Liberada,,Sem atraso
REL00021,CGO00021,Não,2026-03-08 07:34,Não,Não aplicável,,Liberada,Pendência documental,Importador / despachante
REL00022,CGO00022,Sim,2026-03-10 19:53,Não,Não aplicável,,Liberada,Aguardando despachante,Importador / despachante
REL00023,CGO00023,Sim,2026-03-31 21:38,Não,Não aplicável,,Liberada,,Sem atraso
REL00024,CGO00024,Não,2026-03-30 21:45,Sim,Exército,2026-03-31 13:54,Liberada,Aguardando anuência,Órgão anuente
REL00025,CGO00025,Sim,2026-03-31 15:08,Sim,Exército,2026-04-02 11:04,Liberada,,Sem atraso
REL00026,CGO00026,Sim,2026-03-31 19:09,Sim,Ibama,2026-04-01 23:34,Liberada,Aguardando anuência,Órgão anuente
REL00027,CGO00027,Não,2026-03-30 22:49,Não,Não aplicável,,Liberada,,Sem atraso
REL00028,CGO00028,Sim,2026-03-31 04:59,Não,Não aplicável,,Liberada,,Sem atraso
REL00029,CGO00029,Sim,2026-04-01 05:54,Não,Não aplicável,,Liberada,,Sem atraso
REL00030,CGO00030,Sim,2026-04-01 04:40,Sim,Anvisa,2026-04-02 07:07,Liberada,Aguardando anuência,Órgão anuente
REL00031,CGO00031,Sim,2026-04-01 21:36,Não,Não aplicável,,Liberada,Aguardando despachante,Importador / despachante
REL00032,CGO00032,Sim,2026-03-31 08:47,Sim,Exército,2026-04-02 15:48,Liberada,Aguardando anuência,Órgão anuente
REL00033,CGO00033,Sim,2026-03-31 03:03,Não,Não aplicável,,Liberada,,Sem atraso
REL00034,CGO00034,Sim,2026-03-31 00:19,Sim,Inmetro,2026-04-02 00:44,Liberada,Aguardando anuência,Órgão anuente
REL00035,CGO00035,Sim,2026-03-31 23:00,Não,Não aplicável,,Liberada,,Sem atraso
REL00036,CGO00036,Sim,2026-04-01 03:28,Não,Não aplicável,,Liberada,,Sem atraso
REL00037,CGO00037,Sim,2026-03-28 12:28,Não,Não aplicável,,Liberada,,Sem atraso
REL00038,CGO00038,Sim,2026-03-29 08:03,Sim,Anvisa,2026-03-30 23:43,Liberada,,Sem atraso
REL00039,CGO00039,Não,2026-03-28 21:28,Não,Não aplicável,,Liberada,Aguardando Receita Federal,Receita Federal
REL00040,CGO00040,Sim,2026-03-29 01:54,Não,Não aplicável,,Liberada,Aguardando Receita Federal,Receita Federal
REL00041,CGO00041,Não,2026-03-28 08:32,Não,Não aplicável,,Liberada,,Sem atraso
REL00042,CGO00042,Sim,2026-03-29 08:57,Não,Não aplicável,,Liberada,,Sem atraso
REL00043,CGO00043,Sim,2026-03-28 11:19,Não,Não aplicável,,Liberada,,Sem atraso
REL00044,CGO00044,Sim,2026-03-29 18:47,Não,Não aplicável,,Liberada,Pendência documental,Importador / despachante
REL00045,CGO00045,Sim,2026-03-29 01:46,Sim,Ibama,2026-03-31 11:28,Liberada,Aguardando anuência,Órgão anuente
REL00046,CGO00046,Não,2026-03-29 19:27,Não,Não aplicável,,Liberada,Aguardando Receita Federal,Receita Federal
REL00047,CGO00047,Sim,2026-03-28 16:53,Não,Não aplicável,,Liberada,,Sem atraso
REL00048,CGO00048,Sim,2026-03-30 13:25,Não,Não aplicável,,Liberada,Aguardando despachante,Importador / despachante
REL00049,CGO00049,Sim,2026-03-25 11:32,Sim,Anvisa,2026-03-26 03:18,Liberada,Aguardando anuência,Órgão anuente
REL00050,CGO00050,Sim,2026-03-26 11:54,Não,Não aplicável,,Liberada,Pendência documental,Importador / despachante
REL00051,CGO00051,Sim,2026-03-28 08:38,Não,Não aplicável,,Liberada,Aguardando despachante,Importador / despachante
REL00052,CGO00052,Sim,2026-03-25 01:27,Não,Não aplicável,,Liberada,,Sem atraso
REL00053,CGO00053,Sim,2026-03-26 05:23,Sim,Ministério da Agricultura,2026-03-26 19:47,Liberada,Aguardando anuência,Órgão anuente
REL00054,CGO00054,Sim,2026-03-26 03:00,Não,Não aplicável,,Liberada,,Sem atraso
REL00055,CGO00055,Não,2026-03-25 00:03,Não,Não aplicável,,Liberada,,Sem atraso
REL00056,CGO00056,Sim,2026-03-25 05:33,Não,Não aplicável,,Liberada,,Sem atraso
REL00057,CGO00057,Não,2026-03-24 23:25,Sim,Anvisa,2026-03-25 12:16,Liberada,Aguardando anuência,Órgão anuente
REL00058,CGO00058,Sim,2026-03-26 05:05,Sim,Exército,2026-03-28 10:15,Liberada,Aguardando anuência,Órgão anuente
REL00059,CGO00059,Sim,2026-03-25 10:45,Sim,Inmetro,2026-03-28 06:24,Liberada,Aguardando anuência,Órgão anuente
REL00060,CGO00060,Sim,2026-03-25 14:09,Sim,Anvisa,2026-03-27 12:11,Liberada,Aguardando anuência,Órgão anuente
REL00061,CGO00061,Não,2026-03-10 21:34,Sim,Anvisa,2026-03-11 16:52,Liberada,Aguardando anuência,Órgão anuente
REL00062,CGO00062,Não,2026-03-10 22:34,Não,Não aplicável,,Liberada,,Sem atraso
REL00063,CGO00063,Sim,2026-03-11 05:49,Não,Não aplicável,,Liberada,,Sem atraso
REL00064,CGO00064,Sim,2026-03-11 21:44,Sim,Ministério da Agricultura,2026-03-13 02:06,Liberada,Aguardando anuência,Órgão anuente
REL00065,CGO00065,Sim,2026-03-11 09:34,Não,Não aplicável,,Liberada,,Sem atraso
REL00066,CGO00066,Sim,2026-03-11 16:58,Não,Não aplicável,,Liberada,,Sem atraso
REL00067,CGO00067,Sim,2026-02-23 05:39,Não,Não aplicável,,Liberada,,Sem atraso
REL00068,CGO00068,Sim,2026-02-24 15:42,Não,Não aplicável,,Liberada,Aguardando Receita Federal,Receita Federal
REL00069,CGO00069,Sim,2026-02-22 21:15,Sim,Exército,2026-02-23 00:45,Liberada,Aguardando anuência,Órgão anuente
REL00070,CGO00070,Sim,2026-02-23 02:57,Não,Não aplicável,,Liberada,,Sem atraso
REL00071,CGO00071,Sim,2026-02-22 14:09,Não,Não aplicável,,Liberada,,Sem atraso
REL00072,CGO00072,Sim,2026-02-23 12:44,Não,Não aplicável,,Liberada,,Sem atraso
REL00073,CGO00073,Sim,2026-02-23 02:02,Não,Não aplicável,,Liberada,,Sem atraso
REL00074,CGO00074,Sim,2026-02-23 11:06,Sim,Anvisa,2026-02-24 00:45,Liberada,Aguardando anuência,Órgão anuente
REL00075,CGO00075,Sim,2026-02-22 13:07,Sim,Anvisa,2026-02-23 00:53,Liberada,Aguardando anuência,Órgão anuente
REL00076,CGO00076,Sim,2026-02-22 13:39,Sim,Exército,2026-02-24 05:04,Liberada,Aguardando anuência,Órgão anuente
REL00077,CGO00077,Sim,2026-01-13 14:40,Não,Não aplicável,,Liberada,,Sem atraso
REL00078,CGO00078,Sim,2026-01-13 16:19,Não,Não aplicável,,Liberada,,Sem atraso
REL00079,CGO00079,Sim,2026-01-13 22:35,Sim,Ibama,2026-01-16 13:10,Liberada,Aguardando anuência,Órgão anuente
REL00080,CGO00080,Sim,2026-01-14 07:49,Não,Não aplicável,,Liberada,,Sem atraso
REL00081,CGO00081,Sim,2026-01-15 15:23,Não,Não aplicável,,Liberada,Aguardando despachante,Importador / despachante
REL00082,CGO00082,Sim,2026-01-14 18:17,Não,Não aplicável,,Liberada,,Sem atraso
REL00083,CGO00083,Sim,2026-03-06 09:29,Não,Não aplicável,,Liberada,,Sem atraso
REL00084,CGO00084,Sim,2026-03-05 02:35,Não,Não aplicável,,Liberada,,Sem atraso
REL00085,CGO00085,Sim,2026-03-06 09:39,Não,Não aplicável,,Liberada,,Sem atraso
REL00086,CGO00086,Não,2026-03-05 02:12,Sim,Ibama,2026-03-07 23:01,Liberada,Aguardando anuência,Órgão anuente
REL00087,CGO00087,Sim,2026-03-05 14:43,Não,Não aplicável,,Liberada,,Sem atraso
REL00088,CGO00088,Sim,2026-03-05 06:17,Sim,Inmetro,2026-03-08 01:33,Liberada,,Sem atraso
REL00089,CGO00089,Sim,2026-03-08 22:23,Sim,Ministério da Agricultura,2026-03-10 20:50,Liberada,Aguardando anuência,Órgão anuente
REL00090,CGO00090,Sim,2026-03-09 01:28,Sim,Inmetro,2026-03-09 23:40,Liberada,,Sem atraso
REL00091,CGO00091,Sim,2026-03-09 20:32,Não,Não aplicável,,Liberada,,Sem atraso
REL00092,CGO00092,Sim,2026-03-08 19:39,Não,Não aplicável,,Liberada,,Sem atraso
REL00093,CGO00093,Sim,2026-03-10 20:56,Não,Não aplicável,,Liberada,Pendência documental,Importador / despachante
REL00094,CGO00094,Não,2026-03-08 15:06,Sim,Inmetro,2026-03-11 09:43,Liberada,Aguardando anuência,Órgão anuente
REL00095,CGO00095,Sim,2026-03-09 09:56,Não,Não aplicável,,Liberada,,Sem atraso
REL00096,CGO00096,Sim,2026-03-08 20:50,Não,Não aplicável,,Liberada,,Sem atraso
REL00097,CGO00097,Sim,2026-03-09 01:47,Não,Não aplicável,,Liberada,,Sem atraso
REL00098,CGO00098,Sim,2026-03-08 16:45,Não,Não aplicável,,Liberada,,Sem atraso
REL00099,CGO00099,Sim,2026-03-08 23:53,Não,Não aplicável,,Liberada,,Sem atraso
REL00100,CGO00100,Sim,2026-03-09 17:52,Não,Não aplicável,,Liberada,,Sem atraso
REL00101,CGO00101,Sim,2026-03-08 19:01,Sim,Inmetro,2026-03-10 13:39,Liberada,Aguardando anuência,Órgão anuente
REL00102,CGO00102,Sim,2026-03-08 21:57,Não,Não aplicável,,Liberada,,Sem atraso
REL00103,CGO00103,Sim,2026-02-15 06:46,Sim,Ministério da Agricultura,2026-02-17 21:56,Liberada,Aguardando anuência,Órgão anuente
REL00104,CGO00104,Sim,2026-02-14 22:24,Não,Não aplicável,,Liberada,,Sem atraso
REL00105,CGO00105,Não,2026-02-16 08:21,Não,Não aplicável,,Liberada,Pendência documental,Importador / despachante
REL00106,CGO00106,Sim,2026-02-15 18:54,Não,Não aplicável,,Liberada,Pendência documental,Importador / despachante
REL00107,CGO00107,Sim,2026-02-15 03:29,Não,Não aplicável,,Liberada,,Sem atraso
REL00108,CGO00108,Sim,2026-02-15 22:15,Não,Não aplicável,,Liberada,,Sem atraso
REL00109,CGO00109,Sim,2026-02-14 19:06,Não,Não aplicável,,Liberada,,Sem atraso
REL00110,CGO00110,Sim,2026-03-13 17:37,Não,Não aplicável,,Liberada,,Sem atraso
REL00111,CGO00111,Sim,2026-03-12 17:59,Não,Não aplicável,,Liberada,,Sem atraso
REL00112,CGO00112,Sim,2026-03-13 20:40,Não,Não aplicável,,Liberada,Pendência documental,Importador / despachante
REL00113,CGO00113,Sim,2026-03-13 03:35,Não,Não aplicável,,Liberada,,Sem atraso
REL00114,CGO00114,Sim,2026-03-13 05:48,Não,Não aplicável,,Liberada,,Sem atraso
REL00115,CGO00115,Sim,2026-03-13 12:10,Sim,Exército,2026-03-14 10:59,Liberada,,Sem atraso
REL00116,CGO00116,Sim,2026-03-12 14:58,Não,Não aplicável,,Liberada,,Sem atraso
REL00117,CGO00117,Sim,2026-03-12 21:11,Não,Não aplicável,,Liberada,,Sem atraso
REL00118,CGO00118,Sim,2026-03-12 11:30,Não,Não aplicável,,Liberada,,Sem atraso
REL00119,CGO00119,Sim,2026-03-14 06:10,Não,Não aplicável,,Liberada,Aguardando Receita Federal,Receita Federal
REL00120,CGO00120,Sim,2026-03-12 09:30,Não,Não aplicável,,Liberada,,Sem atraso
